feature,importance
P3_zscore_20d_acc_5d,0.00036924600135535
E17,0.00035729599185287955
P11_mean_5d,0.0003567639971151948
P10_std_20d,0.0003557839896529913
P2_mean_5d_acc_5d,0.00035474400501698253
S8,0.00035024399403482676
P5_lag1_mom_20d,0.0003370409947820008
P2_pct_chg_5d_mom_20d,0.0003328999970108271
S7,0.0003300860058516264
P6_mean_5d_mom_20d,0.00032804200891405343
P11_std_5d_mom_20d,0.0003179900115355849
P4_zscore_20d_acc_5d,0.0003156679915264249
S1,0.0003121939953416586
M17_rel_20d,0.0003113460028544068
P7_lag20,0.0003092580009251833
P13_zscore_20d_acc_5d,0.0003051720093935728
M9,0.00030280600767582653
I1_rank_200d,0.0003018080024048686
P1_mean_20d_acc_5d,0.00030002999119460583
P9_std_60d_mom_20d,0.0002974059898406267
P3_std_60d_acc_5d,0.00028847400099039076
I1_rank_60d,0.00028840999584645033
P1_std_60d_mom_20d,0.0002866619965061545
P5_mean_5d_mom_20d,0.00028663799166679383
P4_std_20d_acc_5d,0.00028624599799513816
P10_mean_60d,0.0002818319946527481
P2_lag5_acc_5d,0.0002814820036292076
I8,0.0002745320089161396
P3_mean_20d,0.0002716700080782175
P6_lag20_acc_5d,0.00026024600956588986
P11_mom_20d,0.0002570949960500002
P3_mean_60d_mom_20d,0.000255461991764605
P7_mean_20d_acc_5d,0.00025489440304227173
P12_pct_chg_5d,0.0002532482030801475
M4_rel_20d,0.00025168799329549073
P9_lag5_acc_5d,0.00025041000917553903
P4_std_20d,0.00024940379662439225
P12,0.00024215199518948794
P5_zscore_20d_mom_20d,0.00023723600897938014
M11,0.000231906003318727
P7_std_20d,0.0002307760063558817
P13_mean_60d_mom_20d,0.00023002000525593758
P10_mom_20d,0.0002297879895195365
P7_std_5d_mom_20d,0.00022846419597044587
P4_lag5_acc_5d,0.000227523990906775
P5_lag5_mom_20d,0.00021692400332540274
P8_mean_5d_acc_5d,0.00021078400313854218
P2_std_60d,0.00021025799214839934
P11_std_60d_acc_5d,0.00020810600835829973
P11_std_5d_acc_5d,0.0002070559887215495
P13_pct_chg_5d_mom_20d,0.00019749419298022985
P11_zscore_20d_acc_5d,0.00019645961001515388
P4_lag20_acc_5d,0.00019302200525999068
S6,0.00019085840322077274
P5_zscore_20d_acc_5d,0.0001881422009319067
P2_pct_chg_5d,0.00018619600450620055
P9_lag1_acc_5d,0.00018555759452283383
P6_std_60d_mom_20d,0.00018276680493727325
M4_rel_60d,0.0001811475958675146
P3_mean_60d_acc_5d,0.00017630619695410132
V2,0.00017549600452184677
P6_lag5_acc_5d,0.00017508140299469233
M10,0.00017266699578613042
S10,0.0001707977964542806
P9_zscore_20d_mom_20d,0.00016817740397527813
P11_lag5_mom_20d,0.00016791759990155696
P1_lag1_acc_5d,0.0001659855945035815
P6_pct_chg_5d_mom_20d,0.00014916319632902743
P13,0.00014897879445925356
V13_rank_60d,0.00014170779613777995
P2_std_60d_mom_20d,0.00013964480021968483
